Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Segment
117,1,55.0,2,1,1,211
170,1,34.9,1,1,1,111
233,1,119.8,1,1,2,112
125,1,99.9,2,1,2,212
17,1,24.0,3,1,1,311
35,2,132.31,3,3,3,333
233,1,99.9,1,1,2,112
142,1,55.9,2,1,1,211
16,1,38.9,3,1,1,311
120,1,54.7,2,1,1,211
45,1,65.0,3,1,2,312
149,1,12.95,2,1,1,211
212,1,119.9,1,1,2,112
222,1,116.0,1,1,2,112
137,1,130.0,2,1,3,213
104,1,103.9,2,1,2,212
98,1,90.0,2,1,2,212
134,1,38.0,2,1,1,211
118,1,35.9,2,1,1,211
33,1,51.89,3,1,1,311
218,1,29.9,1,1,1,111
29,1,99.0,3,1,2,312
220,1,139.8,1,1,3,113
12,1,1788.0,3,1,3,313
11,1,114.9,3,1,2,312
128,1,13.65,2,1,1,211
222,1,21.6,1,1,1,111
113,1,29.9,2,1,1,211
206,1,122.99,1,1,2,112
131,1,440.99,2,1,3,213
57,1,736.0,3,1,3,313
15,1,119.85,3,1,2,312
154,1,138.89,2,1,3,213
132,1,25.0,2,1,1,211
14,1,81.35,3,1,2,312
191,1,140.5,1,1,3,113
148,1,54.9,2,1,1,211
137,1,329.0,2,1,3,213
197,1,19.9,1,1,1,111
144,1,122.99,2,1,2,212
188,1,89.0,1,1,2,112
33,1,585.0,3,1,3,313
183,1,74.9,1,1,2,112
221,1,49.99,1,1,1,111
39,1,31.9,3,1,1,311
201,1,162.5,1,1,3,113
13,1,160.0,3,1,3,313
132,1,20.9,2,1,1,211
176,1,49.99,1,1,1,111
61,1,39.78,3,1,1,311
167,1,240.0,1,1,3,113
224,1,129.89,1,1,3,113
165,1,360.0,1,1,3,113
227,1,56.0,1,1,1,111
84,1,150.0,2,1,3,213
73,1,49.9,3,1,1,311
77,1,82.5,3,1,2,312
155,1,13.65,2,1,1,211
126,1,79.99,2,1,2,212
32,1,229.9,3,1,3,313
209,1,13.65,1,1,1,111
230,1,99.9,1,1,2,112
236,1,180.0,1,1,3,113
83,1,378.0,3,1,3,313
238,1,199.98,1,1,3,113
149,1,109.9,2,1,2,212
57,1,49.9,3,1,1,311
34,1,265.9,3,1,3,313
97,1,62.9,2,1,2,212
209,1,49.0,1,1,1,111
148,1,209.70000000000002,2,1,3,213
11,1,112.0,3,1,2,312
12,1,122.99,3,1,2,312
